Time	IMU_Yaw_Data
0	0
1	0.000142638128885518
2	-1.75706160872124e-05
3	-0.000374550641519203
4	-0.000723027499645406
5	-0.00186107889852512
6	-0.00500488851742001
7	-0.0086826143517347
8	-0.011717067650047
9	-0.0195327915242063
10	-0.0301162606314397
11	-0.0449919444531605
12	-0.078524796988458
13	-0.128216298689952
14	-0.183679599679171
15	-0.24155102264341
16	-0.297173856049166
17	-0.348867126640819
18	-0.394743921478788
19	-0.43356075352367
20	-0.46964638779329
21	-0.509253956635873
22	-0.550931532177131
23	-0.591083095342449
24	-0.630835831052234
25	-0.668315448289759
26	-0.702430765747537
27	-0.739799851272393
28	-0.789868204617174
29	-0.861926269184282
30	-0.966496449550046
31	-1.11170884350536
32	-1.30297855532257
33	-1.54644671355508
34	-1.84894334009353
35	-2.20909775460042
36	-2.62217552185609
37	-3.08736064366114
38	-3.59787335039232
39	-4.14775623619104
40	-4.72985449558977
41	-5.33649298663664
42	-5.95987484807513
43	-6.58885950994113
44	-7.21391375539379
45	-7.82531222730109
46	-8.4172671621411
47	-8.98259354801628
48	-9.51258393671429
49	-10.0054814132928
50	-10.4624881022378
51	-10.8815303255362
52	-11.2573041240664
53	-11.5861798881504
54	-11.8690024417888
55	-12.1045506570841
56	-12.2800601216095
57	-12.3855032038157
58	-12.4198462851135
59	-12.399933554713
60	-12.3498970695856
61	-12.2788829385842
62	-12.1898685083525
63	-12.0840692993875
64	-11.9544251006662
65	-11.7996205517562
66	-11.6327036145924
67	-11.4596810622499
68	-11.2796576501074
69	-11.0932734970929
70	-10.8986505471768
71	-10.694885939443
72	-10.4827870894589
73	-10.2623413485535
74	-10.0359160715844
75	-9.80544172213061
76	-9.57429745578928
77	-9.34240346943292
78	-9.10800020629196
79	-8.87645907453608
80	-8.65269830734182
81	-8.44246358016347
82	-8.24996994577048
83	-8.07062108999106
84	-7.90017191140777
85	-7.73694219298258
86	-7.58175045915371
87	-7.43922400161469
88	-7.31342789030485
89	-7.206262506783
90	-7.11251229721948
91	-7.02860132693085
92	-6.95684029363886
93	-6.8991168189619
94	-6.85932327215237
95	-6.83792407423951
96	-6.83068127339082
97	-6.83378030310548
98	-6.84464864356821
99	-6.8639934735494
100	-6.89306161251711
101	-6.93344902991279
102	-6.98825777088681
103	-7.05495239754303
104	-7.13149309479109
105	-7.21924780970095
106	-7.31425044744091
107	-7.411976004509
108	-7.50954775957912
109	-7.60273839583396
110	-7.68750605830076
111	-7.76235940965219
112	-7.82877038745369
113	-7.88718370474894
114	-7.93511160985745
115	-7.97178818090624
116	-8.00087183183474
117	-8.02453442988398
118	-8.04376011948627
119	-8.05999137896943
120	-8.07236587104908
121	-8.07847288671414
122	-8.07615850642257
123	-8.06642219459053
124	-8.04966085202771
125	-8.02577795043519
126	-7.99457751678618
127	-7.9504956761645
128	-7.89508123239332
129	-7.83475447949599
130	-7.7720345965263
131	-7.70711350630468
132	-7.63893007472564
133	-7.56445166348116
134	-7.48375314060181
135	-7.39781862502812
136	-7.30739180426154
137	-7.21350063614574
138	-7.11537135420983
139	-7.0101918825541
140	-6.89789438833929
141	-6.79085484098814
142	-6.69523746635396
143	-6.61189080689848
144	-6.54567970530126
145	-6.49175919509056
146	-6.44683055844322
147	-6.41580812225756
148	-6.39737855514679
149	-6.38813790820941
150	-6.38201497504046
151	-6.3685292717976
152	-6.34115983174748
153	-6.3057720328506
154	-6.27580724224642
155	-6.25328011228195
156	-6.23456645347983
157	-6.21922885981329
158	-6.20107791313883
159	-6.17079095637859
160	-6.13031943483556
161	-6.08121695018628
162	-6.02456187423354
163	-5.9575552632072
164	-5.85348173235926
165	-5.70638258179867
166	-5.5385930847185
167	-5.37247438878293
168	-5.22040432459608
169	-5.08841006263323
170	-4.98835727218782
171	-4.92442636160604
172	-4.89243367108107
173	-4.88792548649388
174	-4.91356316181079
175	-4.9732339400349
176	-5.06850411281189
177	-5.20446920192903
178	-5.37655047761235
179	-5.569492415667
180	-5.77486467644391
181	-5.98976713320587
182	-6.21434997806872
183	-6.44977146941937
184	-6.68381991362284
185	-6.88734643168226
186	-7.00534349714321
187	-6.98404559869205
188	-6.7917862585358
189	-6.42989729695977
190	-5.97333098688607
191	-5.51916129354938
192	-5.12485699141315
193	-4.81212634697046
194	-4.58930808717178
195	-4.45305955808047
196	-4.39699180686613
197	-4.41230727088502
198	-4.48128085169598
199	-4.59177122791002
200	-4.74449930803993
201	-4.93745703710915
202	-5.15520742198407
203	-5.38493746669664
204	-5.63012036024834
205	-5.88960930475042
206	-6.15194979957669
207	-6.41713984477773
208	-6.68711443699944
209	-6.95609975315566
210	-7.22284256384065
211	-7.48697190376154
212	-7.74545382384128
213	-7.99529269262093
214	-8.23304602530371
215	-8.45590618138308
216	-8.66277181697638
217	-8.85206062752306
218	-9.02242920469912
219	-9.17582834416781
220	-9.31185649973001
221	-9.42967915727478
222	-9.52999433636448
223	-9.61502807148592
224	-9.68579456308603
225	-9.74238149189512
226	-9.78524537897375
227	-9.81400544449572
228	-9.83109581849677
229	-9.83726775748216
230	-9.83117098250551
231	-9.81328766801651
232	-9.78560954232471
233	-9.75128542433507
234	-9.71367623271857
235	-9.67311219616361
236	-9.62366929384002
237	-9.55206077031132
238	-9.44398531835424
239	-9.29035490782256
240	-9.08763959185541
241	-8.83457605161153
242	-8.53050930312608
243	-8.17932165831097
244	-7.78403880094328
245	-7.34658650951529
246	-6.86917353906673
247	-6.35671347455867
248	-5.81646630459634
249	-5.2565398822116
250	-4.68484972541322
251	-4.11030928468483
252	-3.54144990760389
253	-2.98444686276285
254	-2.4432629341096
255	-1.92052650008751
256	-1.42139683188995
257	-0.95098012585659
258	-0.508766841504381
259	-0.0921389567577795
260	0.2992909932264
261	0.665917106715158
262	1.01205074815983
263	1.34327863079394
264	1.66274490714589
265	1.97205655368401
266	2.2753929598134
267	2.57675260057548
268	2.87548970180904
269	3.17315484390352
270	3.4727237167882
271	3.77533402661376
272	4.08314356085904
273	4.39867575559729
274	4.72627511586278
275	5.06854203051228
276	5.4242329958712
277	5.79497113965786
278	6.18461939617189
279	6.59631972668866
280	7.03236362370741
281	7.49187206856843
282	7.97578992154919
283	8.48739409537839
284	9.02472436381842
285	9.58222858741666
286	10.1549355293237
287	10.7301207855586
288	11.2961228616408
289	11.8492401234114
290	12.392334505374
291	12.9339586687717
292	13.4735448092853
293	14.002382594515
294	14.5131802984449
295	15.0049576324928
296	15.4798655524538
297	15.9391735674271
298	16.379290488315
299	16.7945339750927
300	17.1863973807737
301	17.5646981090256
302	17.9682278627545
303	18.4230814683805
304	18.9001633439496
305	19.3822653370711
306	19.8844196845067
307	20.3823554005897
308	20.860963767324
309	21.3399228592478
310	21.8000408330574
311	22.250731210861
312	22.7030009291914
313	23.1108213089958
314	23.447040484742
315	23.7403312431106
316	24.0280971220914
317	24.3199380174586
318	24.6192252594252
319	24.9208065173692
320	25.2220568090621
321	25.52322504476
322	25.809125763609
323	26.0695441876459
324	26.3051009246014
325	26.5161752112091
326	26.7017689687873
327	26.8649785214032
328	27.0025907075738
329	27.1103804278306
330	27.189445462468
331	27.2372436482388
332	27.2598729284859
333	27.2595980895356
334	27.2353774299532
335	27.1998609231238
336	27.1544585072674
337	27.0982358700043
338	27.0417571165429
339	26.9831525100023
340	26.9142937966667
341	26.8374543353559
342	26.7523495199104
343	26.6562880514042
344	26.5537820729494
345	26.4470958196366
346	26.3364354033522
347	26.2257310659772
348	26.1190435968685
349	26.0187978567251
350	25.9196123834112
351	25.8169678430626
352	25.7111779236955
353	25.5981960701254
354	25.4797624203981
355	25.3595966597992
356	25.2382142926232
357	25.1156062506025
358	24.9917717913799
359	24.8680691193587
360	24.7435408760251
361	24.6195883245632
362	24.4970936929154
363	24.3741213035888
364	24.24865344651
365	24.1204708068764
366	23.9933744016171
367	23.8684292279486
368	23.7406147140166
369	23.606665810716
370	23.4672963425867
371	23.3258015979344
372	23.183437938081
373	23.0407741013019
374	22.8995961456254
375	22.7601411062527
376	22.62410127365
377	22.49342024543
378	22.3680116304395
379	22.2467124255896
380	22.1294021727966
381	22.0170457025021
382	21.910047421928
383	21.8086879637642
384	21.715281638883
385	21.6301970355291
386	21.5519180786365
387	21.4808676399861
388	21.4180591645246
389	21.3604726267277
390	21.3047842163649
391	21.2486310584863
392	21.190419194523
393	21.1291887490145
394	21.0648237529588
395	20.9987110294365
396	20.9319707448239
397	20.863721525983
398	20.792223287371
399	20.7160136682541
400	20.6332835712924
401	20.545576877056
402	20.4581613137857
403	20.3753552883112
404	20.2985322451538
405	20.2247509798284
406	20.1475907304808
407	20.0622355821906
408	19.9702162278868
409	19.8724125455593
410	19.7683367300724
411	19.6624155106118
412	19.5572783188858
413	19.4543661540423
414	19.3495392313863
415	19.2384901933533
416	19.1214436948828
417	18.9979581872596
418	18.8703283797678
419	18.7417510519244
420	18.6133302929888
421	18.4846388832422
422	18.3559408579459
423	18.2276225392016
424	18.0964398155482
425	17.9592255443211
426	17.8147530276001
427	17.6603094314405
428	17.496708937757
429	17.3257786627784
430	17.1512432529285
431	16.9787193949151
432	16.8117807830221
433	16.6533273823593
434	16.5025363769701
435	16.3577615926038
436	16.21849259323
437	16.083858068677
438	15.9529525890487
439	15.8249000275959
440	15.698039488423
441	15.5697098370632
442	15.4388485741965
443	15.3043235321729
444	15.159640311738
445	15.0007001005903
446	14.823436401719
447	14.6230113869274
448	14.4001214348427
449	14.1625656783734
450	13.9107561183594
451	13.6426993958649
452	13.3579692661006
453	13.0508853939018
454	12.7154603301236
455	12.3445928028753
456	11.9340608989364
457	11.4842628170545
458	10.9995523909944
459	10.4875807648704
460	9.95529735550838
461	9.40990551344541
462	8.8572332372837
463	8.30241427371779
464	7.74932340180611
465	7.20207200742811
466	6.6652199495056
467	6.1394297017974
468	5.62763844057541
469	5.13529861615676
470	4.66379367115741
471	4.21092425504933
472	3.77813140917018
473	3.3748632846393
474	3.01297113214122
475	2.68757485624008
476	2.3904044712563
477	2.12479154094647
478	1.88045435566136
479	1.64560096652358
480	1.41910777074339
481	1.20028844259836
482	0.98795889540256
483	0.778248871510085
484	0.568237771708499
485	0.359607292747039
486	0.150888477313266
487	-0.0588720809167178
488	-0.26800188591878
489	-0.478462626294407
490	-0.689922043167659
491	-0.900391834934762
492	-1.11043499141218
493	-1.31929006074524
494	-1.52517333299668
495	-1.72849321202307
496	-1.93129369040627
497	-2.1332769334073
498	-2.33297638464256
499	-2.5295965435423
500	-2.72326857406788
501	-2.91415937639187
502	-3.10015763247393
503	-3.28228475855015
504	-3.46267142303221
505	-3.64379908110982
506	-3.82623216395939
507	-4.00688385197527
508	-4.1809230271138
509	-4.33612892670345
510	-4.47394188236216
511	-4.60500677450247
512	-4.73746279496254
513	-4.87985464103014
514	-5.03625890972616
515	-5.20724138224441
516	-5.39049015701645
517	-5.57976676235924
518	-5.77033183971319
519	-5.96584987113245
520	-6.17209578380117
521	-6.391657985223
522	-6.62217296330993
523	-6.85453454788929
524	-7.08412408260267
525	-7.31749502259559
526	-7.56323813182574
527	-7.82447596482574
528	-8.09991450222828
529	-8.38675732124413
530	-8.67564298180515
531	-8.95704450123142
532	-9.23004970064189
533	-9.49920112362767
534	-9.76506064535911
535	-10.0192433649515
536	-10.247146787654
537	-10.4480410969582
538	-10.6343648159006
539	-10.8139053672469
540	-10.9828266860653
541	-11.123166626261
542	-11.2261815909381
543	-11.2982367217138
544	-11.3511304566434
545	-11.3957322468068
546	-11.4397877716346
547	-11.4913271568536
548	-11.5552677450704
549	-11.6344026544845
550	-11.7305239781008
551	-11.842667233978
552	-11.9669341937436
553	-12.0982857688694
554	-12.236396320615
555	-12.3810119150292
556	-12.5267870929537
557	-12.6684689469789
558	-12.7995693189103
559	-12.9102833592375
560	-12.991964610226
561	-13.040682393774
562	-13.0577317550896
563	-13.042899007199
564	-12.9926482777138
565	-12.9004473231797
566	-12.7603169475402
567	-12.5723656387268
568	-12.335420601151
569	-12.0456923330817
570	-11.7042731548343
571	-11.311905437279
572	-10.8695577663943
573	-10.3811726150984
574	-9.85039284964186
575	-9.28360238238643
576	-8.68834836035188
577	-8.07045299501269
578	-7.43835418572151
579	-6.7993872246964
580	-6.1606514764758
581	-5.52994901814044
582	-4.91331417943725
583	-4.31670885705629
584	-3.74647224710674
585	-3.20529747877061
586	-2.6951130346459
587	-2.21979993941568
588	-1.77787838913651
589	-1.36603431031997
590	-0.984705871844736
591	-0.633729065817436
592	-0.309205283205543
593	-0.00742383417449567
594	0.272543002414085
595	0.529666263171772
596	0.764298882403633
597	0.979004562696891
598	1.17647973897041
599	1.35478694202658
600	1.5103006234226
601	1.63387094641463
602	1.71757219906288
603	1.75539894328669
604	1.73376347311575
605	1.63945537319135
606	1.46743568889823
607	1.21565280583053
608	0.881065956364332
609	0.462047417533608
610	-0.0439501716841637
611	-0.635674636783341
612	-1.30915824927635
613	-2.05985549680926
614	-2.87680114561916
615	-3.7449124856148
616	-4.64690915707488
617	-5.56579411408052
618	-6.4848108905904
619	-7.38974489674349
620	-8.26788612338713
621	-9.10690967637069
622	-9.89799217616663
623	-10.6322697903122
624	-11.3053380266443
625	-11.9210363090122
626	-12.4814103099552
627	-12.9827742377966
628	-13.4271634774933
629	-13.8285285208266
630	-14.1914765810481
631	-14.5000857168697
632	-14.7453240777687
633	-14.9406018378474
634	-15.1036213825684
635	-15.24944729297
636	-15.3919608831698
637	-15.540530530973
638	-15.6988925050125
639	-15.860488227028
640	-16.0089495687806
641	-16.1243766607905
642	-16.1985793716362
643	-16.2363316422155
644	-16.2429764212498
645	-16.2273657569663
646	-16.2064281400204
647	-16.1910999365189
648	-16.1849565237052
649	-16.1945642045076
650	-16.2245240182838
651	-16.2682784544039
652	-16.3037455010883
653	-16.304315148933
654	-16.2490364244071
655	-16.1313380538026
656	-15.9482285138037
657	-15.7065358801139
658	-15.4202149436542
659	-15.0910198808661
660	-14.7185412283005
661	-14.3043712976106
662	-13.8498555480393
663	-13.3487520542676
664	-12.8084600798749
665	-12.2523837470013
666	-11.6860323579085
667	-11.1084014674523
668	-10.5228666848748
669	-9.94421590910366
670	-9.3968878837348
671	-8.90735013780954
672	-8.50033491080885
673	-8.17471135865789
674	-7.90964049314009
675	-7.67221894956574
676	-7.44148903621646
677	-7.20749682831618
678	-6.9585841574458
679	-6.69366939583231
680	-6.40980442521419
681	-6.09948487290619
682	-5.75999281145196
683	-5.39599365731833
684	-5.0119345266024
685	-4.60987108243014
686	-4.19428979813058
687	-3.76992831590491
688	-3.34136913691628
689	-2.91345449248038
690	-2.4872954767732
691	-2.06592946985742
692	-1.6525985273714
693	-1.24944078562235
694	-0.859639627760656
695	-0.480738474690313
696	-0.115372661242489
697	0.223360127068773
698	0.530546948261407
699	0.798837904556103
700	1.01684609740804
701	1.18056071427074
702	1.29055002356453
703	1.35372667000824
704	1.37818306329745
705	1.37677017353572
706	1.36478424520143
707	1.35435762991599
708	1.35716973738486
709	1.38156623487109
710	1.42787504868283
711	1.49543063155427
712	1.58332494626089
713	1.68741572321844
714	1.80627086520522
715	1.93748145336184
716	2.07793294262715
717	2.22328175812559
718	2.37198287467533
719	2.52448604429052
720	2.6753474045094
721	2.82034470078649
722	2.95852781538067
723	3.08949103744751
724	3.21200374012477
725	3.32432747541452
726	3.42589257359072
727	3.51697731971197
728	3.59877542357574
729	3.67256114943199
730	3.73967921421758
731	3.79996504609847
732	3.8545430219634
733	3.9054031532539
734	3.95647690766021
735	4.01210332505969
736	4.07338336781772
737	4.13130257628306
738	4.1669418785383
739	4.15854016703175
740	4.08734585429769
741	3.94028306199014
742	3.70844216065542
743	3.38478192820553
744	2.96273858765092
745	2.43718391057593
746	1.8101119673794
747	1.08819203314908
748	0.279784937732688
749	-0.600869255293161
750	-1.5376924376697
751	-2.51463332915692
752	-3.51308728119958
753	-4.51623829407419
754	-5.51134785703248
755	-6.48484221005412
756	-7.42420207585887
757	-8.31981460478026
758	-9.16248668432544
759	-9.94686767598918
760	-10.6703480386204
761	-11.3346430753146
762	-11.9400543668204
763	-12.4849097596425
764	-12.9748408627442
765	-13.4114595868013
766	-13.7937400235572
767	-14.1300073270486
768	-14.4315697756476
769	-14.7047351281265
770	-14.9513285203566
771	-15.1724297899138
772	-15.3640416369042
773	-15.5198796936322
774	-15.6352950650718
775	-15.7039400248454
776	-15.7242906067489
777	-15.7103888232326
778	-15.6709522841289
779	-15.5996038941486
780	-15.4900742614427
781	-15.3438022503142
782	-15.1558049079729
783	-14.9154919442674
784	-14.6173110111473
785	-14.2561467810271
786	-13.8307808196677
787	-13.337626768072
788	-12.7743434246357
789	-12.1461657598209
